match_type,match_date,tournament_name,surface,tournament_country,round_name,draw,result,result_status,winner_entry,winner_seed,winner_name,winner_country,loser_entry,loser_seed,loser_name,loser_country
Fed/BJK Cup,2024-11-15,Play-Offs - Brazil vs Argentina,I.clay,Brazil,Last 16,Main Draw,3-6 6-1 6-2,,,,Solana Sierra,ARG,,,Laura Pigossi,BRA
Fed/BJK Cup,2024-04-13,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-1 6-2,,,,Julia Riera,ARG,,,Maria Paulina Perez-Garcia,COL
Fed/BJK Cup,2024-04-13,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-3 6-4,,,,Yuliana Lizarazo,COL,,,Martina Capurro Taborda,ARG
Fed/BJK Cup,2024-04-12,Group I Americas,Clay,Colombia,Round Robin,Main Draw,7-5 6-2,,,,Julia Riera,ARG,,,Fernanda Labrana,CHI
Fed/BJK Cup,2024-04-12,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-2 6-7(1) 6-3,,,,Maria Lourdes Carle,ARG,,,Daniela Seguel,CHI
Fed/BJK Cup,2024-04-11,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-0 6-1,,,,Maria Lourdes Carle,ARG,,,Vanesa Suarez,VEN
Fed/BJK Cup,2024-04-11,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-0 6-2,,,,Julia Riera,ARG,,,Sabrina Balderrama,VEN
Fed/BJK Cup,2024-04-10,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-0 6-1,,,,Julia Riera,ARG,,,Tania Isabel Andrade Sabando,ECU
Fed/BJK Cup,2024-04-10,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-2 6-2,,,,Martina Capurro Taborda,ARG,,,Valentina Ponce Serrano,ECU
Fed/BJK Cup,2024-04-09,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-2 6-1,,,,Martina Capurro Taborda,ARG,,,Francesca Maguina Bunikowska,PER
Fed/BJK Cup,2024-04-09,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-2 6-1,,,,Julia Riera,ARG,,,Romina Ccuno,PER
Fed/BJK Cup,2023-11-11,Play-Offs - Slovakia vs Argentina,I.hard,Slovakia,Last 16,Main Draw,3-6 6-4 6-4,,,,Viktoria Hruncakova,SVK,,,Julia Riera,ARG
Fed/BJK Cup,2023-11-11,Play-Offs - Slovakia vs Argentina,I.hard,Slovakia,Last 16,Main Draw,6-1 6-4,,,,Renata Jamrichova,SVK,,,Nadia Podoroska,ARG
Fed/BJK Cup,2023-11-10,Play-Offs - Slovakia vs Argentina,I.hard,Slovakia,Last 16,Main Draw,7-5 7-5,,,,Julia Riera,ARG,,,Anna Karolina Schmiedlova,SVK
Fed/BJK Cup,2023-11-10,Play-Offs - Slovakia vs Argentina,I.hard,Slovakia,Last 16,Main Draw,3-6 6-3 6-3,,,,Viktoria Hruncakova,SVK,,,Nadia Podoroska,ARG
Fed/BJK Cup,2023-04-15,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-3 6-2,,,,Julia Riera,ARG,,,Maria Herazo,COL
Fed/BJK Cup,2023-04-15,Group I Americas,Clay,Colombia,Round Robin,Main Draw,6-1 6-0,,,,Martina Capurro Taborda,ARG,,,Yuliana Monroy,COL
