tieId,tieName,matchId,dateMatch,result,winnerName,winnerCountry,loserName,loserCountry
480deb87-4668-40e1-a583-ed1993b845f7,W-FC-2005-G2-EPA-B-M-LAT-NOR-01,f061daae-fd45-407c-9fd4-d807b1bcb1ee,2005-04-28T00:00:00.000Z,6-1 2-6 6-4,Irina Kuzmina-Rimsa,LAT,Karoline Borgersen,NOR
40230afd-2f02-43e5-989b-e885b1018a63,W-FC-2005-G2-EPA-B-M-IRL-LAT-01,167c3bfe-6732-42e5-a200-0c6132a75d5b,2005-04-29T00:00:00.000Z,6-0 6-3,Karen Nugent / Rachael Dillon,IRL,Anastasija Sevastova / Ieva Irbe,LAT
40230afd-2f02-43e5-989b-e885b1018a63,W-FC-2005-G2-EPA-B-M-IRL-LAT-01,4c777629-622f-4b3b-86ef-6f113aacbd9e,2005-04-29T00:00:00.000Z,4-6 7-6(4) 6-3,Irina Kuzmina-Rimsa,LAT,Anne Mall,IRL
40230afd-2f02-43e5-989b-e885b1018a63,W-FC-2005-G2-EPA-B-M-IRL-LAT-01,c1509042-883a-420c-ae0f-9800caa742c7,2005-04-29T00:00:00.000Z,6-3 3-6 6-3,Alise Vaidere,LAT,Yvonne Doyle,IRL
820e59b1-f744-485e-92db-8295d4263027,W-FC-2005-G2-EPA-B-M-GEO-NOR-01,07e11d21-0308-4975-ad3e-a4e7a4f827c1,2005-04-29T00:00:00.000Z,6-2 6-2,Margalita Chakhnashvili-Ranzinger,GEO,Idunn Hertzberg,NOR
820e59b1-f744-485e-92db-8295d4263027,W-FC-2005-G2-EPA-B-M-GEO-NOR-01,33766e45-e9c6-4b97-b5dc-a93bacc014b6,2005-04-29T00:00:00.000Z,6-1 6-4,Karoline Borgersen / Ina Sartz,NOR,Tatia Mikadze / Salome Chachkhunashvili,GEO
820e59b1-f744-485e-92db-8295d4263027,W-FC-2005-G2-EPA-B-M-GEO-NOR-01,999b085f-87cc-4715-a498-ff132dcf759c,2005-04-29T00:00:00.000Z,6-0 6-1,Tinatin Kavlashvili,GEO,Karoline Steiro,NOR
7b583b9b-1b74-404a-9316-0a4456d56c4f,W-FC-2005-G3-EPA-A-M-EGY-MLT-01,24dd55e0-dc94-49b8-b6cf-ec05dbda315a,2005-04-27T00:00:00.000Z,6-0 6-1,Nihal Tarek-Saleh,EGY,Stephanie Pace,MLT
7b583b9b-1b74-404a-9316-0a4456d56c4f,W-FC-2005-G3-EPA-A-M-EGY-MLT-01,51ff1ae5-e934-4549-8766-ad6c6fbb4f05,2005-04-27T00:00:00.000Z,5-2 ret.,Aliaa Fakhry,EGY,Lisa Camenzuli,MLT
7b583b9b-1b74-404a-9316-0a4456d56c4f,W-FC-2005-G3-EPA-A-M-EGY-MLT-01,a79a0970-4663-49cf-93ac-4e7b917e0bca,2005-04-27T00:00:00.000Z,7-6(2) 7-5,Miray Eshak / Aliaa Fakhry,EGY,Stephanie Pace / Stephanie Sullivan,MLT
39213c4e-39d4-4d6c-a890-4ddbf64fa03e,W-FC-2005-G3-EPA-A-M-TUR-MLT-01,6485d0ce-16bf-41ab-88e2-c9038a24eb49,2005-04-28T00:00:00.000Z,6-4 1-6 6-2,Ipek Senoglu Turna,TUR,Stephanie Sullivan,MLT
