display_name,wta_id,itf_id,alias_record_found,raw_name_variants,first_unmatched_match_date,last_unmatched_match_date,unmatched_match_count,source_files,example_tournaments,example_ranking_week_dates
Andrea Whitmore,,800177067,yes,Andrea Whitmore,1981-06-15,1981-06-15,1,wta_matches_arg.csv,BMW Championships - Eastbourne,
Ann Kiyomura-Hayashi,,800175521,yes,Ann Kiyomura-Hayashi,1979-08-20,1980-08-18,2,wta_matches_arg.csv,Volvo Tennis Cup - Mahwah | Volvo Women's Cup - Mahwah,
Anna Dmitrieva,,800173689,yes,Anna Dmitrieva,1968-05-27,1968-05-27,1,gs_matches_arg.csv,Roland Garros,
Anne Minter,,800169265,yes,Anne Minter,1984-07-22,1988-10-10,9,bjkc_matches_arg.csv | wta_matches_arg.csv,Ellesse Grand Prix - Perugia | Honda Classic - San Juan | Player's Canadian Open - Montreal | Swiss Open - Lugano | Taipei Women's Championships - Taipei,1984-07-16 | 1984-08-20 | 1985-05-20 | 1986-07-07 | 1986-08-04
Beatriz Mejuto-Perez Del Mol,,800103946,yes,Beatriz Mejuto-Perez Del Mol,1997-07-07,1997-07-07,1,itf_matches_arg.csv,"$10,000 Vigo",1997-07-07
Beatriz Villaverde,,800176409,yes,Beatriz Villaverde,1977-05-16,1977-05-16,2,gs_matches_arg.csv,Roland Garros,
Betty Stove,,800174229,yes,Betty Stove,1976-08-29,1979-08-20,5,bjkc_matches_arg.csv | gs_matches_arg.csv | wta_matches_arg.csv,Roland Garros | US Open | Volvo Tennis Cup - Mahwah | World Group,
Bianca Zuleta,,800223793,yes,Bianca Zuleta,2000-07-31,2000-07-31,1,itf_matches_arg.csv,"$10,000 Guayaquil",2000-07-31
Brigitte Simon-Glinel,,800175635,yes,Brigitte Simon-Glinel,1978-05-29,1978-10-30,3,gs_matches_arg.csv | wta_matches_arg.csv,Rio de La Plata Championships - Buenos Aires | Roland Garros,
Bunny Smith,,800175363,yes,Bunny Smith,1973-05-14,1973-05-14,1,gs_matches_arg.csv,Roland Garros,
Camilla Soro,,800207266,yes,Camilla Soro,1997-07-01,1997-07-01,1,itf_matches_arg.csv,"$10,000 Sezze",1997-06-30
Carla Garcia,,800220043,yes,Carla Garcia,2000-08-07,2000-08-07,1,itf_matches_arg.csv,"$10,000 Lima",2000-08-07
Carla Mei,,800176392,yes,Carla Mei,1977-05-16,1977-05-16,1,gs_matches_arg.csv,Roland Garros,
Carmen Perea-Alcala,,800175588,yes,Carmen Perea-Alcala,1973-05-21,1980-05-05,4,gs_matches_arg.csv | manually_added_matches.csv | wta_matches_arg.csv,Italian Open - Perugia | Roland Garros | World Group,
